Merab Dvalishvili	Gustavo Lopez	153577	Merab Dvalishvili vs Gustavo Lopez UFC Vegas 2
Charles Oliveira	Jim Miller	65076	Charles Oliveira vs Jim Miller UFC Fight Night
Raul Rosas Jr.	Mando Gutierrez	395828	Raul Rosas Jr. vs Mando Gutierrez DWCS
Diego Lopes	Joanderson Brito	282204	Joanderson Brito vs Diego Lopes DWCS
Lerone Murphy	Douglas Silva de Andrade	194624	Lerone Murphy vs Douglas Silva de Andrade UFC Fight Island 8
Aljamain Sterling	Bryan Caraway	42123	Bryan Caraway vs Aljamain Sterling UFC Fight Night
Aljamain Sterling	Hugo Viana	38900	Aljamain Sterling vs Hugo Viana UFC Fight Night
Jean Silva	Melsik Baghdasaryan	763301	Jean Silva vs Melsik Baghdasaryan UFC Seattle
Arnold Allen	Sodiq Yusuff	215580	Arnold Allen vs Sodiq Yusuff UFC Vegas 23
Youssef Zalal	Austin Lingo	124786	Austin Lingo vs Youseff Zalal UFC 247
David Onama	Jonathan Pearce	616169	David Onama vs Jonathan Pearce UFC Las Vegas 91
David Onama	Nate Landwehr	427576	Nate Landwehr vs David Onama UFC Fight Night
David Onama	Garrett Armfield	374965	David Onama vs Garrett Armfield UFC Fight Night
Max Holloway	Leonard Garcia	29723	Leonard Garcia vs. Max Holloway UFC 155
Max Holloway	Justin Lawrence	32927	Max Holloway vs. Justin Lawrence UFC 150
Renato Moicano	Damir Hadzovic	621761	Renato Moicano vs Damir Hadzovic UFC on ESPN
Beneil Dariush	Scott Holtzman	159541	Beneil Dariush vs Scott Holtzman UFC Fight Night
Beneil Dariush	Ramsey Nijem	34729	Ramsey Nijem vs. Beneil Dariush UFC Fight Night
Beneil Dariush	Charlie Brenneman	30797	Charlie Brenneman vs. Beneil Dariush UFC Fight Night
Michael Morales	Nikolay Veretennikov	282281	Michael Morales vs Nikolay Veretennikov DWCS
Sean Brady	Christian Aguilera	162894	Sean Brady vs Christian Aguilera UFC Vegas 8
Sean Brady	Ismail Naurdiev	128662	Sean Brady vs Ismail Naurdiev UFC Norfolk
Belal Muhammad	Dhiego Lima	203887	Belal Muhammad vs Dhiego Lima UFC 258
Belal Muhammad	Lyman Good	154100	Belal Muhammad vs Lyman Good UFC Las Vegas 3
Joaquin Buckley	Nursulton Ruziboev	623283	Joaquin Buckley vs Nursulton Ruziboev UFC St. Louis
Joaquin Buckley	Alessio Di Chirico	193940	Joaquin Buckley vs Alessio Di Chirico UFC Fight Island 7
Joaquin Buckley	Impa Kasanganay	170458	Joaquin Buckley vs Impa Kasanganay UFC Fight Island 5
Mike Malott	Shimon Smotritsky	283114	Mike Malott vs Shimon Smotritsky DWCS
Nassourdine Imavov	Phil Hawes	205848	Phil Hawes vs Nassourdine Imavov UFC Vegas 19
Brendan Allen	Chris Curtis	273485	Brendan Allen vs Chris Curtis UFC Vegas 44
Brendan Allen	Karl Roberson	218680	Karl Roberson vs Brendan Allen UFC 261
Brendan Allen	Tom Breese	128676	Brendan Allen vs Tom Breese UFC Norfolk
Caio Borralho	Aaron Jeffery	283101	Caio Borralho vs Aaron Jeffery DWCS
Joe Pyfer	Ozzy Diaz	378486	Joe Pyfer vs Ozzy Diaz DWCS
Joe Pyfer	Dustin Stoltzfus	160043	Joe Pyfer vs Dustin Stoltzfus DWCS
Jared Cannonier	Cyril Asker	40485	Jared Cannonier vs Cyril Asker UFC Fight Night
Carlos Ulberg	Tafon Nchukwi	371804	Carlos Ulberg vs Tafon Nchukwi UFC Vegas 57
Jamahal Hill	Klidson Abreu	150255	Jamahal Hill vs Klidson Abreu UFC Fight Night
Jamahal Hill	Darko Stosic	113035	Jamahal Hill vs Darko Stosic UFC Raleigh
Alonzo Menifield	Dashawn Boatwright	65239	Alonzo Menifield vs Dashawn Boatwright Contender Series
Alonzo Menifield	Daniel Jolly	57543	Alonzo Menifield vs Daniel Jolly Contender Series
Derrick Lewis	Rodrigo Nascimento	623292	Derrick Lewis vs Rodrigo Nascimento UFC St. Louis
Valentina Shevchenko	Jennifer Maia	179436	Valentina Shevchenko vs Jennifer Maia UFC 255
Zhang Weili	Jessica Aguilar	65415	Weili Zhang vs Jessica Aguilar UFC Fight Night
Raquel Pennington	Marion Reneau	154103	Raquel Pennington vs Marion Reneau UFC Las Vegas 3
Raquel Pennington	Bethe Correia	40497	Raquel Pennington vs Bethe Correia UFC Fight Night
Raquel Pennington	Jessica Rakoczy	43840	Jessica Rakoczy vs Raquel Pennington TUF 18 Finale
Angela Hill	Tecia Torres	37015	Tecia Torres vs Angela Hill UFC 188
Angela Hill	Ashley Yoder	57049	Angela Hill vs Ashley Yoder TUF 25 Finale
Angela Hill	Ashley Yoder	210048	Angela Hill vs Ashley Yoder UFC Vegas 21
Angela Hill	Loma Lookboonmee	127278	Angela Hill vs Loma Lookboonmee UFC Auckland
Angela Hill	Hannah Cifers	113036	Hannah Cifers vs Angela Hill UFC Raleigh
Miranda Maverick	Liana Jojua	173286	Miranda Maverick vs Liana Jojua UFC 254
Karine Silva	Maryna Moroz	511173	Karine Silva vs Maryna Moroz UFC 292
Casey O'Neill	Lara Procopio	232146	Casey O'Neill vs Lara Procopio UFC Fight Night
Casey O'Neill	Shana Dobson	205817	Shana Dobson vs Casey O'Neill UFC Vegas 19
Joselyne Edwards	Karol Rosa	200277	Karol Rosa vs Joselyne Edwards UFC Vegas 18
Joselyne Edwards	Wu Yanan	193919	Wu Yanan vs Joselyne Edwards UFC Fight Island 7
Angela Hill	Lupita Godinez	383069	Angela Hill vs Lupita Godinez UFC Fight Night
