Sean Strickland	Luke Barnatt	34985	Sean Strickland vs. Luke Barnatt UFC Fight Night
Sean Strickland	Bubba McDaniel	34728	Sean Strickland vs. Bubba McDaniel UFC 171
Kyoji Horiguchi	Jon delos Reyes	36201	Kyoji Horiguchi vs. Jon Delos Reyes UFC Fight Night
Sean O'Malley	Terrion Ware	61688	Sean O'Malley vs Terrion Ware TUF 26 Finale
Marlon Vera	Davey Grant	39456	Davey Grant vs Marlon Vera UFC Fight Night
Marlon Vera	Marco Beltran	36187	Marco Beltran vs. Marlon Vera UFC 180
Aljamain Sterling	Cody Gibson	32780	Aljamain Sterling vs. Cody Gibson UFC 170
Yair Rodriguez	Charles Rosa	37138	Yair Rodriguez vs Charles Rosa UFC 188
Yair Rodriguez	Leonardo Morales	35827	Yair Rodriguez vs. Leonardo Morales UFC 180
Brian Ortega	Thiago Tavares	41217	Brian Ortega vs Thiago Tavares UFC Fight Night
Renato Moicano	Tom Niinimaki	35953	Renato Moicano vs. Tom Niinimaki UFC Fight Night
Leon Edwards	Seth Baczynski	35803	Leon Edwards vs. Seth Baczynski UFC Fight Night
Leon Edwards	Claudio Silva	36020	Claudio Silva vs. Leon Edwards UFC Fight Night
Robert Whittaker	Brad Scott	32099	Robert Whittaker vs. Brad Scott UFC Fight Night
Julianna Pena	Valentina Shevchenko	49890	Valentina Shevchenko vs Julianna Pena UFC Fight Night
Julianna Pena	Jessica Rakoczy	32770	Julianna Pena vs. Jessica Rakoczy TUF 18 Finale
Raquel Pennington	Ashlee Evans-Smith	36135	Raquel Pennington vs. Ashlee Evans-Smith UFC 181
Raquel Pennington	Roxanne Modafferi	30683	Raquel Pennington vs. Roxanne Modafferi TUF 18 Finale
Miesha Tate	Rin Nakai	35512	Miesha Tate vs. Rin Nakai UFC Fight Night
Miesha Tate	Liz Carmouche	35233	Miesha Tate vs. Liz Carmouche UFC Fight Night
Miesha Tate	Ronda Rousey	31303	Ronda Rousey vs. Miesha Tate UFC 168
Miesha Tate	Cat Zingano	29981	Cat Zingano vs. Miesha Tate UFC Fight Night
