Alexander Volkanovski	Max Holloway	206285	UFC 251: Usman vs Masvidal
Alexander Volkanovski	Max Holloway	206286	UFC 245: Usman vs Covington
Petr Yan	Urijah Faber	206286	UFC 245: Usman vs Covington
Justin Gaethje	Tony Ferguson	206271	UFC 249: Ferguson vs Gaethje
Merab Dvalishvili	Henry Cejudo	595704	UFC 298: Volkanovski vs Topuria
Merab Dvalishvili	John Dodson	206266	UFC 252: Miocic vs Cormier 3
Ciryl Gane	Derrick Lewis	252105	UFC 265: Lewis vs Gane
Ciryl Gane	Junior dos Santos	206277	UFC 256: Figueiredo vs Moreno
Charles Oliveira	Michael Chandler	227881	UFC 262: Oliveira vs Chandler
Charles Oliveira	Tony Ferguson	206277	UFC 256: Figueiredo vs Moreno
Sean O'Malley	Thomas Almeida	217473	UFC 260: Miocic vs Ngannou 2
Sean O'Malley	Marlon Vera	206266	UFC 252: Miocic vs Cormier 3
Aiemann Zahabi	Aori Qileng	498692	UFC 289: Prelims
Deiveson Figueiredo	Brandon Moreno	206277	UFC 256: Figueiredo vs Moreno
Deiveson Figueiredo	Alex Perez	206268	UFC 255: Figueiredo vs Perez
Marlon Vera	Sean O'Malley	206266	UFC 252: Miocic vs Cormier 3
Aljamain Sterling	Cory Sandhagen	206246	UFC 250: Nunes vs Spencer
Dan Hooker	Michael Chandler	205804	UFC 257: Poirier vs McGregor 2
Beneil Dariush	Tony Ferguson	227881	UFC 262: Oliveira vs Chandler
Sean Brady	Jake Matthews	212770	UFC 259: Fight Pass Prelims
Joaquin Buckley	Jordan Wright	206132	UFC 255: Prelims
Israel Adesanya	Paulo Costa	206200	UFC 253: Adesanya vs Costa
Carlos Ulberg	Kennedy Nzechukwu	212770	UFC 259: Fight Pass Prelims
Paulo Costa	Robert Whittaker	595704	UFC 298: Volkanovski vs Topuria
Paulo Costa	Israel Adesanya	206200	UFC 253: Adesanya vs Costa
Alexander Volkov	Walt Harris	206255	UFC 254: Khabib vs Gaethje
Derrick Lewis	Ciryl Gane	252105	UFC 265: Lewis vs Gane
Valentina Shevchenko	Jéssica Andrade	223934	UFC 261: Usman vs Masvidal 2
Zhang Weili	Rose Namajunas	223934	UFC 261: Usman vs Masvidal 2
Rose Namajunas	Zhang Weili	223934	UFC 261: Usman vs Masvidal 2
Rose Namajunas	Jéssica Andrade	206285	UFC 251: Usman vs Masvidal
Maycee Barber	Alexa Grasso	209267	UFC 258: Usman vs Burns
Jéssica Andrade	Valentina Shevchenko	223934	UFC 261: Usman vs Masvidal 2
Jéssica Andrade	Rose Namajunas	206285	UFC 251: Usman vs Masvidal
Angela Hill	Tecia Torres	252105	UFC 265: Lewis vs Gane
Miranda Maverick	Gillian Robertson	217473	UFC 260: Miocic vs Ngannou 2
