Charles Oliveira	Dustin Poirier	275858	Charles Oliveira vs Dustin Poirier UFC 269
Charles Oliveira	Jared Gordon	223229	Charles Oliveira vs Jared Gordon UFC Fight Night
Charles Oliveira	Nik Lentz	29358	Charles Oliveira vs. Nik Lentz UFC Live 4
Charles Oliveira	Nik Lentz	97297	Charles Oliveira vs Nik Lentz UFC Fight Night
Charles Oliveira	Nik Lentz	41216	Charles Oliveira vs Nik Lentz UFC Fight Night
Charles Oliveira	Paul Felder	61072	Paul Felder vs Charles Oliveira UFC 218
Charles Oliveira	Ricardo Lamas	46785	Ricardo Lamas vs Charles Oliveira UFC Fight Night
Charles Oliveira	Anthony Pettis	43959	Anthony Pettis vs Charles Oliveira UFC Fight Night
Charles Oliveira	Jeremy Stephens	35432	Charles Oliveira vs. Jeremy Stephens TUF 20 Finale
Charles Oliveira	Hatsu Hioki	35190	Charles Oliveira vs. Hatsu Hioki UFC Fight Night
Charles Oliveira	Andy Ogle	34639	Charles Oliveira vs. Andy Ogle UFC Fight Night
Charles Oliveira	Frankie Edgar	30321	Frankie Edgar vs. Charles Oliveira UFC 162
Charles Oliveira	Cub Swanson	29929	Cub Swanson vs. Charles Oliveira UFC 152
Charles Oliveira	Jonathan Brookins	31417	Jonathan Brookins vs. Charles Oliveira TUF 15 Finale
Charles Oliveira	Eric Wisely	29397	Charles Oliveira vs. Eric Wisely UFC Fight Night
Charles Oliveira	Donald Cerrone	30868	Donald Cerrone vs. Charles Oliveira UFC Live 5
Charles Oliveira	Efrain Escudero	33322	Charles Oliveira vs. Efrain Escudero UFC Fight Night
Charles Oliveira	Darren Elkins	30566	Charles Oliveira vs. Darren Elkins UFC Live 2
Angela Hill	Tecia Torres	37015	Tecia Torres vs Angela Hill UFC 188
Angela Hill	Ashley Yoder	57049	Angela Hill vs Ashley Yoder TUF 25 Finale
Angela Hill	Jessica Andrade	53539	Jessica Andrade vs Angela Hill UFC Fight Night
Angela Hill	Rose Namajunas	37695	Rose Namajunas vs Angela Hill UFC 192
Angela Hill	Emily Kagan	35926	Angela Hill vs. Emily Kagan TUF 20 Finale
Dan Hooker	Maximo Blanco	35518	Maximo Blanco vs. Dan Hooker UFC Fight Night
Dan Hooker	Ian Entwistle	34518	Dan Hooker vs. Ian Entwistle UFC Fight Night
Derrick Lewis	Guto Inocente	35824	Derrick Lewis vs. Guto Inocente TUF 19 Finale
Derrick Lewis	Jack May	34607	Derrick Lewis vs. Jack May UFC Fight Night
Jessica Andrade	Erin Blanchfield	446295	Erin Blanchfield vs Jéssica Andrade UFC Vegas 69
Jessica Andrade	Cynthia Calvillo	254905	Jessica Andrade vs Cynthia Calvillo UFC 266
Jessica Andrade	Marion Reneau	36589	Marion Reneau vs Jessica Andrade UFC Fight Night
Jessica Andrade	Larissa Pacheco	36247	Jessica Andrade vs. Larissa Pacheco UFC Fight Night
Jessica Andrade	Rosi Sexton	30450	Jessica Andrade vs Rosi Sexton UFC Fight Night
Jessica Andrade	Liz Carmouche	31501	Liz Carmouche vs. Jessica Andrade UFC Fight Night
