Cam Rowston	Cody Brundage	cXHog6_Itgg8dRu3Icbi1OK_LvC3FvJT	2026-01
Cub Swanson	Nate Landwehr	ALVE01KN7MGV8NE2MSMHB2ZV1643HQ	2026-04
Ateba Gautier	Ozzy Diaz	ALVE01KQA61V6FE90V0Z0E0ZHY5MXN	2026-05
Jared Gordon	Jim Miller	ALVE01KQDQWWX6E708TDDHBE9G71NE	2026-05
Tallison Teixeira	Tai Tuivasa	ktwM2VtE5DV08wVEOfgv00qUGNlfSDn6	2026-02
Piera Rodriguez	Sam Hughes	ALVE01KKEYDNV6EZA8SVK6C66SJJH2	2026-03
Cody Garbrandt	Adrian Yanez	ALVE01KW2D8AQBE3P8PC9B5M4VD09S	2026-07
Drew Dober	Michael Johnson	52je_OAe521zQPvpm28y2bbTd5hkyh8H	2026-03
Chris Padilla	MarQuel Mederos	ALVE01KNMP1WK1E53SW28ZGNRXTADB	2026-04
Luke Riley	Kai Kamaka III	ALVE01KW2D8BA5EC8RK63EYPHBQ5BX	2026-07
Terrance McKinney	King Green	ALVE01KW2D88F3EDRAWNK32B1B5VVN	2026-07
Gable Steveson	Elisha Ellison	ALVE01KW2D89Z2EZBVEMM27H2SQTEX	2026-07
