FP:917000	ATMGPjgCgVbPJBCRFucyWdb5GqhWBOI4
FP:910607	zSPnNxa4_hsJvcZGm2LtudSyS2AvY04H
FP:926837	xEfZmxNxkPMWjB10ePJ51YLZgZ5tOD3k
FP:913956	EdKEVRBOv_6rGAPyBhcCUQSrPORTDGhU
FP:913944	fy7apy_MwIxOXA0D_CbQaEITPR_ls8CS
FP:926855	lp4dukWmoviyJEy1CZcfZmMJ8e_6zKva
FP:926870	7efif5Yf4io7FdztG0t0wMUP5rwTdJ_q
FP:947097	ALVE01KNMQWYC7EHZRVF8K0MY36CKP
FP:929932	EZJekWSSSyrNQalUi5mM_Ma7W5uHIoTR
FP:929935	PwvLMJx_fblAARBzgBRZ_uQbEc0jbH0g
FP:944277	ALVE01KNJ3QYR3EDA90Z69TZW8C6WT
FP:913988	EgQaH0nLedGLF60L1BErScTe11UuDM5M
FP:924178	e4hRXBfTsi3dRP3sAgkNK03nFTqWXAmP
FP:929992	8qo8m30xKdoQ_90pfmJ9Pglj5UzP5bZ1
FP:929962	kpS2S4jhQLleRdd7vSjjHyHrlHOrmZZ0
FP:924157	TQ854m_14W_GOFS_RMiX1fxnIuREP3kD
FP:936117	ALVE01KKVRNRPGE7JR1X9K66EB40R1
FP:933241	ALVE01KKEYCTB2E6YVC7M1DGG6XKKJ
FP:933242	ALVE01KKF8H2SPE2GB79M4SWA3D72W
FP:956330	ALVE01KQA62HTXE04VSTR2KN594G6M
FP:910629	OtzIL1RtZym0JgkttKg7JFvBGXylo3WG
FP:980672	ALVE01KWHR5N1BERP8YN2BKPZJF1GT
FP:942003	ALVE01KMGNG9MNEZ6TCA7CVV56ZBAG
FP:941995	ALVE01KMGNH7Q7E6X90KCGG3DZGDDK
FP:936104	ALVE01KKVRN7SQEFVT6TK4YZ1Q9GDN
FP:939748	ALVE01KKYH5ZWXEWJSMMWMQF99X62W
FP:941989	ALVE01KMGNGV9BE4JR26MP9FH8Q2H3
FP:913994	2aOrz3RBpnnVCaxQkUxqYGbKyNfGMT2m
FP:941967	ALVE01KN7W5VX3E5EVNC2ZQWAYKEK6
FP:941977	ALVE01KMGNGNY3E57V24D8Q4FM5PNP
FP:917022	o5WiSVvn_vgwTOlqgarMKY0EVwQZ5CY7
FP:947069	ALVE01KNMQYDWDEANAS8P8YBY8PVMD
FP:926851	wm6QuzURJ2c0ejCmwXuYzaAF18PWGaV7
FP:936140	ALVE01KKVRPHCQEHDB2Z5DW27AFM4C
FP:947028	ALVE01KPE3SYCKE0MA3EYFR5CWW7V5
FP:947047	ALVE01KNMQXNDPEDE9JRJJ0ZXTE43P
FP:939764	ALVE01KKYH5SJ1ERH8HS479E14S22M
FP:929963	iEJ2285peu7kuIChpU9gE22Sd2XoC3DP
FP:933254	ALVE01KKEYC5FYEEEBZ3PN3DKQWTS9
FP:917043	Io3MT0J2oCJVITAm6Qs6cklbL_3Ti_2k
FP:944299	ALVE01KN7MGKNME46ANSX20GWEZMKH
FP:917023	R0Aukjf__EPkLaFN1qU65O6qy28J_O5z
FP:944315	ALVE01KN7MGVDKEAW9QKT87FASR8XH
FP:947006	ALVE01KNY9D7JYEB2AFGXHNTCRCNWJ
FP:914012	IivvV6gszUVq6uA8k09VgWqHbkDOrPgW
FP:929950	avER83_zZMa7D7d6W6ez_VFXNtfTKW_h
FP:924147	m54TiwHxQPs5kRves2CZ6X2hJKfX2tVk
FP:924139	zIlmoS7w4EpVq5CAuzHWChb7KbPJG3_m
FP:948748	as8DpjtmFPyafkRRk8pyeh63x5ftYKaX
FP:929982	gSDMtaxtZa_8ymeez_dzyprKxRbEmRZ1
FP:910655	q_2zCMzokAW9eRASu2i11YLytox5tCKW
FP:964065	ALVE01KRC7MYJQE0QTJ8H58FSJ1N15
FP:910658	sUdF_G9nXTMQnJj3xl50qVT20K606iIu
FP:956315	ALVE01KQA62CQ2E5FTMQBPXVGAJP4H
FP:939765	ALVE01KKYH5HSAEHDV3XGJY6N0R0K3
FP:947096	ALVE01KNMQWYENEVPA3T4EF0NDZ0QG
FP:980673	ALVE01KW2D8E0PE4K8NENWFY7DH161
FP:980705	ALVE01KW2D8C58E9GTKBZ21ZRZXM8C
FP:980679	ALVE01KWY8V8HHED5VE313FKJPTPVZ
FP:910641	R40WXC3tfrTaDgQvsjemVKIjgnhNzFW8
FP:910656	em6VbhxhvRSUszkhdBmyd8lb4vQP4eZJ
UFC:156528	TImMSe4J8nl5r0uyGhmOA09tdgsVlxVU
FP:956352	ALVE01KQA61XEBEXEBEAXC58483045
FP:956351	ALVE01KQA62CSSEHZ9XV4QVX1ZPYR7
FP:944305	ALVE01KN7MH2WQEA7T3D9TA5YS2W5R
FP:944279	ALVE01KN7MGNTXEFA9S7EDBAX0TSV0
FP:933244	ALVE01KKF7NQSREF0A4N7KAPRGD5SK
FP:936038	ALVE01KKVRP9T1EA4A7QV52B9GVDGP
FP:936105	ALVE01KKVRPW3YE7F8KC97T5796AZ9
FP:936053	ALVE01KKVRNQRDE4FVRA6193SBV0RH
