Fighters HELD from bulk import (derived record off by 2+ from ESPN's stated record).
Review/fix via fill-fighter, then add manually.

slug                         name                       derived      ESPN stated 
alexandre-ferreira           Alexandre Ferreira         16-5-0       18-6-0      
ben-sosoli                   Ben Sosoli                 7-3-2        7-3-0       
caio-bittencourt             Caio Bittencourt           0-1-0        14-7-0      
carl-deaton                  Carl Deaton                17-7-2       17-7-0      
chris-leben                  Chris Leben                26-11-1      22-11-0     
chris-lytle                  Chris Lytle                32-23-0      32-23-5     
dan-argueta                  Dan Argueta                9-3-2        9-3-0       
daniel-pineda                Daniel Pineda              28-17-3      28-17-0     
donald-cerrone               Donald Cerrone             36-17-2      36-17-0     
fabricio-camoes              Fabricio Camoes            14-11-1      14-9-0      
felipe-arantes               Felipe Arantes             18-10-3      18-10-1     
james-gray                   James Gray                 3-1-0        4-2-0       
jamie-varner                 Jamie Varner               21-11-3      21-11-1     
ji-yeon-kim                  Ji Yeon Kim                9-7-2        9-7-0       
krzysztof-soszynski          Krzysztof Soszynski        24-12-1      26-12-1     
mara-romero-borella          Mara Romero Borella        12-9-2       12-9-0      
mark-coleman                 Mark Coleman               18-10-0      16-10-0     
nick-diaz                    Nick Diaz                  26-10-2      26-10-0     
phil-harris                  Phil Harris                22-12-2      22-12-0     
rafaello-oliveira            Rafaello Oliveira          15-8-0       17-8-0      
thiago-alves                 Thiago Alves               23-15-0      28-15-0     
thomas-gifford               Thomas Gifford             17-9-2       17-9-0      
tony-sims                    Tony Sims                  10-4-0       12-4-0      
wang-guan                    Wang Guan                  18-1-1       20-1-1      
yazan-hajeh                  Yazan Hajeh                3-1-0        6-1-0       
yves-edwards                 Yves Edwards               43-22-2      42-22-1     
