Joshua Van                          wiki: Joshua Van | fights: 18
Alexandre Pantoja                   wiki: Alexandre Pantoja | fights: 36
Tatsuro Taira                       wiki: Tatsuro Taira | fights: 19
Brandon Royval                      wiki: Brandon Royval | fights: 25
Kyoji Horiguchi                     wiki: Kyoji Horiguchi | fights: 41
Brandon Moreno                      wiki: Brandon Moreno | fights: 35
Amir Albazi                         wiki: Amir Albazi | fights: 19
Asu Almabayev                       wiki: Asu Almabayev | fights: 25
Tim Elliott                         wiki: Tim Elliott | fights: 35
Alex Perez                          wiki: Alex Perez (fighter) | fights: 37
Steve Erceg                         wiki: Steve Erceg | fights: 17
Tagir Ulanbekov                     wiki: Tagir Ulanbekov | fights: 19
Charles Johnson                     wiki: Charles Johnson (fighter) | fights: 26
Bruno Gustavo da Silva              wiki: Bruno Gustavo da Silva | fights: 26
Joseph Morales                      wiki: Joseph Morales (fighter) | fights: 15
Zhalgas Zhumagulov                  wiki: Zhalgas Zhumagulov | fights: 28
Clayton Carpenter                   wiki: NOT FOUND | fights: 0
Jose Ochoa                          wiki: NOT FOUND | fights: 0
Matt Schnell                        wiki: Matt Schnell | fights: 29
Cody Durden                         wiki: Cody Durden | fights: 28
Daniel Lacerda                      wiki: NOT FOUND | fights: 0
Ramazan Temirov                     wiki: NOT FOUND | fights: 0
Victor Altamirano                   wiki: NOT FOUND | fights: 0
Ode Osbourne                        wiki: Ode' Osbourne | fights: 23
Petr Yan                            wiki: Petr Yan | fights: 24
Merab Dvalishvili                   wiki: Merab Dvalishvili | fights: 27
Umar Nurmagomedov                   wiki: Umar Nurmagomedov | fights: 21
Sean O'Malley                       wiki: Sean O'Malley (fighter) | fights: 22
Cory Sandhagen                      wiki: Cory Sandhagen | fights: 24
Song Yadong                         wiki: Song Yadong | fights: 34
Aiemann Zahabi                      wiki: Aiemann Zahabi | fights: 15
Deiveson Figueiredo                 wiki: Deiveson Figueiredo | fights: 33
Mario Bautista                      wiki: Mario Bautista | fights: 20
Marlon Vera                         wiki: Marlon Vera | fights: 35
David Martínez                      wiki: David Martínez (fighter) | fights: 15
Payton Talbott                      wiki: Payton Talbott | fights: 11
Vinicius Oliveira                   wiki: Vinicius Oliveira | fights: 26
