espn_id,status,slug,division,record,record_check,stat_fights,def_fights,coverage,photo_ok,country_ok
2354359,ok,jason-reinhardt,BW,20-3-0,ok,3,3,1.0,0,0
2504613,ok,claude-patrick,WW,14-2-0,ok,4,4,1.0,1,0
2335675,ok,kenny-florian,FW,14-6-0,ok,17,17,1.0,1,0
2504170,ok,christian-morecraft,HW,7-3-0,ok,4,4,1.0,0,0
2335766,ok,jorge-rivera,MW,20-9-0,ok,15,15,1.0,0,0
2335877,ok,gilbert-aldana,HW,0-2-0,ok,2,2,1.0,0,0
2354075,ok,elvis-sinosic,LHW,1-6-0,ok,7,7,1.0,0,0
2354540,ok,rick-davis,LW,0-1-0,ok,1,1,1.0,0,0
2354579,ok,joe-veres,LW,0-2-0,ok,2,2,1.0,0,0
2354195,ok,steve-vigneault,MW,1-5-0,ok,1,1,1.0,0,0
